date,NIC
1935-01-01,0
1935-02-01,0
1935-03-01,96
1935-04-01,88
1935-05-01,75
1935-06-01,76
1935-07-01,77
1935-08-01,80
1935-09-01,85
1935-10-01,96
1935-11-01,95
1935-12-01,100
1936-01-01,88
1936-02-01,85
1936-03-01,86
1936-04-01,90
1936-05-01,93
1936-06-01,96
1936-07-01,100
1936-08-01,107
1936-09-01,128
1936-10-01,130
1936-11-01,125
1936-12-01,136
1937-01-01,124
1937-02-01,119
1937-03-01,126
1937-04-01,129
1937-05-01,131
1937-06-01,133
1937-07-01,139
1937-08-01,148
1937-09-01,162
1937-10-01,160
1937-11-01,156
1937-12-01,165
1938-01-01,153
1938-02-01,149
1938-03-01,149
1938-04-01,156
1938-05-01,155
1938-06-01,154
1938-07-01,157
1938-08-01,161
1938-09-01,175
1938-10-01,178
1938-11-01,171
1938-12-01,175
1939-01-01,161
1939-02-01,158
1939-03-01,160
1939-04-01,165
1939-05-01,166
1939-06-01,166
1939-07-01,170
1939-08-01,180
1939-09-01,212
1939-10-01,224
1939-11-01,222
1939-12-01,233
1940-01-01,213
1940-02-01,209
1940-03-01,221
1940-04-01,221
1940-05-01,230
1940-06-01,273
1940-07-01,292
1940-08-01,307
1940-09-01,332
1940-10-01,332
1940-11-01,335
1940-12-01,360
1941-01-01,344
1941-02-01,353
1941-03-01,365
1941-04-01,373
1941-05-01,380
1941-06-01,393
1941-07-01,405
1941-08-01,422
1941-09-01,435
1941-10-01,449
1941-11-01,463
1941-12-01,496
1942-01-01,479
1942-02-01,493
1942-03-01,509
1942-04-01,517
1942-05-01,529
1942-06-01,541
1942-07-01,564
1942-08-01,592
1942-09-01,625
1942-10-01,658
1942-11-01,666
1942-12-01,694
1943-01-01,678
1943-02-01,692
1943-03-01,719
1943-04-01,744
1943-05-01,747
1943-06-01,758
1943-07-01,776
1943-08-01,797
1943-09-01,815
1943-10-01,837
1943-11-01,845
1943-12-01,874
1944-01-01,861
1944-02-01,875
1944-03-01,898
1944-04-01,915
1944-05-01,912
1944-06-01,920
1944-07-01,942
1944-08-01,960
1944-09-01,983
1944-10-01,1012
1944-11-01,1008
1944-12-01,1036
1945-01-01,1021
1945-02-01,1028
1945-03-01,1049
1945-04-01,1062
1945-05-01,1056
1945-06-01,1063
1945-07-01,1079
1945-08-01,1098
1945-09-01,1112
1945-10-01,1137
1945-11-01,1114
1945-12-01,1129
1946-01-01,1088
1946-02-01,1087
1946-03-01,1102
1946-04-01,1114
1946-05-01,1110
1946-06-01,1114
1946-07-01,1118
1946-08-01,1127
1946-09-01,1148
1946-10-01,1157
1946-11-01,1161
1946-12-01,1186
1947-01-01,1139
1947-02-01,1138
1947-03-01,1153
1947-04-01,1154
1947-05-01,1148
1947-06-01,1153
1947-07-01,1154
1947-08-01,1159
1947-09-01,1172
1947-10-01,1179
1947-11-01,1182
1947-12-01,1211
1948-01-01,1158
1948-02-01,1156
1948-03-01,1181
1948-04-01,1183
1948-05-01,1196
1948-06-01,1206
1948-07-01,1220
1948-08-01,1227
1948-09-01,1268
1948-10-01,1275
1948-11-01,1274
1948-12-01,1289
1949-01-01,1229
1949-02-01,1222
1949-03-01,1245
1949-04-01,1265
1949-05-01,1264
1949-06-01,1270
1949-07-01,1271
1949-08-01,1270
1949-09-01,1291
1949-10-01,1294
1949-11-01,1283
1949-12-01,1307
1950-01-01,1259
1950-02-01,1251
1950-03-01,1258
1950-04-01,1270
1950-05-01,1276
1950-06-01,1276
1950-07-01,1294
1950-08-01,1304
1950-09-01,1318
1950-10-01,1322
1950-11-01,1324
1950-12-01,1367
1951-01-01,1294
1951-02-01,1295
1951-03-01,1320
1951-04-01,1323
1951-05-01,1338
1951-06-01,1351
1951-07-01,1370
1951-08-01,1371
1951-09-01,1388
1951-10-01,1406
1951-11-01,1407
1951-12-01,1464
1952-01-01,1376
1952-02-01,1374
1952-03-01,1393
1952-04-01,1412
1952-05-01,1417
1952-06-01,1442
1952-07-01,1458
1952-08-01,1464
1952-09-01,1476
1952-10-01,1486
1952-11-01,1499
1952-12-01,1561
1953-01-01,1480
1953-02-01,1473
1953-03-01,1493
1953-04-01,1505
1953-05-01,1518
1953-06-01,1529
1953-07-01,1547
1953-08-01,1550
1953-09-01,1552
1953-10-01,1556
1953-11-01,1559
1953-12-01,1599
1954-01-01,1519
1954-02-01,1506
1954-03-01,1513
1954-04-01,1536
1954-05-01,1547
1954-06-01,1554
1954-07-01,1572
1954-08-01,1573
1954-09-01,1585
1954-10-01,1580
1954-11-01,1587
1954-12-01,1624
1955-01-01,1546
1955-02-01,1542
1955-03-01,1553
1955-04-01,1579
1955-05-01,1598
1955-06-01,1619
1955-07-01,1652
1955-08-01,1654
1955-09-01,1666
1955-10-01,1674
1955-11-01,1684
1955-12-01,1738
1956-01-01,1649
1956-02-01,1641
1956-03-01,1677
1956-04-01,1686
1956-05-01,1706
1956-06-01,1735
1956-07-01,1762
1956-08-01,1765
1956-09-01,1770
1956-10-01,1781
1956-11-01,1794
1956-12-01,1869
1957-01-01,1739
1957-02-01,1718
1957-03-01,1725
1957-04-01,1756
1957-05-01,1752
1957-06-01,1784
1957-07-01,1818
1957-08-01,1816
1957-09-01,1819
1957-10-01,1824
1957-11-01,1828
1957-12-01,1904
1958-01-01,1776
1958-02-01,1784
1958-03-01,1810
1958-04-01,1832
1958-05-01,1844
1958-06-01,1876
1958-07-01,1903
1958-08-01,1907
1958-09-01,1911
1958-10-01,1908
1958-11-01,1929
1958-12-01,1998
1959-01-01,1884
1959-02-01,1882
1959-03-01,1919
1959-04-01,1925
1959-05-01,1944
1959-06-01,1968
1959-07-01,1995
1959-08-01,1988
1959-09-01,1976
1959-10-01,1967
1959-11-01,1972
1959-12-01,2020
1960-01-01,1917
1960-02-01,1906
1960-03-01,1920
1960-04-01,1962
1960-05-01,1981
1960-06-01,1992
1960-07-01,2028
1960-08-01,2015
1960-09-01,2006
1960-10-01,2014
1960-11-01,2020
1960-12-01,2062
1961-01-01,1962
1961-02-01,1955
1961-03-01,1980
1961-04-01,1992
1961-05-01,2011
1961-06-01,2020
1961-07-01,2072
1961-08-01,2056
1961-09-01,2061
1961-10-01,2061
1961-11-01,2065
1961-12-01,2147
1962-01-01,2017
1962-02-01,2021
1962-03-01,2026
1962-04-01,2091
1962-05-01,2083
1962-06-01,2109
1962-07-01,2148
1962-08-01,2137
1962-09-01,2133
1962-10-01,2136
1962-11-01,2141
1962-12-01,2234
1963-01-01,2085
1963-02-01,2083
1963-03-01,2100
1963-04-01,2144
1963-05-01,2137
1963-06-01,2174
1963-07-01,2205
1963-08-01,2198
1963-09-01,2191
1963-10-01,2187
1963-11-01,2200
1963-12-01,2305
1964-01-01,2137
1964-02-01,2138
1964-03-01,2197
1964-04-01,2198
1964-05-01,2207
1964-06-01,2256
1964-07-01,2274
1964-08-01,2274
1964-09-01,2279
1964-10-01,2274
1964-11-01,2299
1964-12-01,2381
1965-01-01,2258
1965-02-01,2253
1965-03-01,2289
1965-04-01,2321
1965-05-01,2339
1965-06-01,2386
1965-07-01,2434
1965-08-01,2433
1965-09-01,2421
1965-10-01,2439
1965-11-01,2469
1965-12-01,2536
1966-01-01,2404
1966-02-01,2397
1966-03-01,2424
1966-04-01,2457
