date,NIC-Liabilities-Mils,NIC-Liabilities
1980-12-03,10439,10439000000
1980-12-10,10668,10668000000
1980-12-17,10885,10885000000
1980-12-24,11063,11063000000
1980-12-31,11108,11108000000
1981-01-07,10902,10902000000
1981-01-14,10551,10551000000
1981-01-21,10285,10285000000
1981-01-28,10138,10138000000
1981-02-04,10158,10158000000
1981-02-11,10215,10215000000
1981-02-18,10152,10152000000
1981-02-25,10109,10109000000
1981-03-04,10176,10176000000
1981-03-11,10224,10224000000
1981-03-18,10139,10139000000
1981-03-25,10151,10151000000
1981-04-01,10187,10187000000
1981-04-08,10268,10268000000
1981-04-15,10269,10269000000
1981-04-22,10339,10339000000
1981-04-29,10337,10337000000
1981-05-06,10454,10454000000
1981-05-13,10616,10616000000
1981-05-20,10631,10631000000
1981-05-27,10616,10616000000
1981-06-03,10646,10646000000
1981-06-10,10727,10727000000
1981-06-17,10699,10699000000
1981-06-24,10737,10737000000
1981-07-01,10835,10835000000
1981-07-08,11077,11077000000
1981-07-15,10984,10984000000
1981-07-22,10942,10942000000
1981-07-29,10930,10930000000
1981-08-05,11008,11008000000
1981-08-12,11054,11054000000
1981-08-19,10937,10937000000
1981-08-26,10879,10879000000
1981-09-02,10938,10938000000
1981-09-09,11069,11069000000
1981-09-16,10939,10939000000
1981-09-23,10841,10841000000
1981-09-30,10793,10793000000
1981-10-07,10879,10879000000
1981-10-14,10950,10950000000
1981-10-21,10863,10863000000
1981-10-28,10789,10789000000
1981-11-04,10859,10859000000
1981-11-11,10950,10950000000
1981-11-18,10852,10852000000
1981-11-25,10791,10791000000
1981-12-02,10837,10837000000
1981-12-09,11080,11080000000
1981-12-16,11171,11171000000
1981-12-23,11514,11514000000
1981-12-30,11699,11699000000
1982-01-06,11544,11544000000
1982-01-13,11147,11147000000
1982-01-20,10845,10845000000
1982-01-27,10699,10699000000
1982-02-03,10727,10727000000
1982-02-10,10768,10768000000
1982-02-17,10689,10689000000
1982-02-24,10609,10609000000
1982-03-03,10688,10688000000
1982-03-10,10736,10736000000
1982-03-17,10614,10614000000
1982-03-24,10617,10617000000
1982-03-31,10652,10652000000
1982-04-07,10863,10863000000
1982-04-14,10954,10954000000
1982-04-21,10846,10846000000
1982-04-28,10863,10863000000
1982-05-05,10991,10991000000
1982-05-12,11128,11128000000
1982-05-19,11085,11085000000
1982-05-26,11237,11237000000
1982-06-02,11300,11300000000
1982-06-09,11371,11371000000
1982-06-16,11278,11278000000
1982-06-23,11386,11386000000
1982-06-30,11539,11539000000
1982-07-07,11767,11767000000
1982-07-14,11768,11768000000
1982-07-21,11691,11691000000
1982-07-28,11679,11679000000
1982-08-04,11756,11756000000
1982-08-11,11764,11764000000
1982-08-18,11632,11632000000
1982-08-25,11565,11565000000
1982-09-01,11583,11583000000
1982-09-08,11753,11753000000
1982-09-15,11634,11634000000
1982-09-22,11533,11533000000
1982-09-29,11527,11527000000
1982-10-06,11615,11615000000
1982-10-13,11753,11753000000
1982-10-20,11651,11651000000
1982-10-27,11589,11589000000
1982-11-03,11715,11715000000
1982-11-10,11850,11850000000
1982-11-17,11776,11776000000
1982-11-24,11694,11694000000
1982-12-01,11760,11760000000
1982-12-08,12036,12036000000
1982-12-15,12115,12115000000
1982-12-22,12552,12552000000
1982-12-29,12757,12757000000
1983-01-05,12681,12681000000
1983-01-12,12155,12155000000
1983-01-19,11732,11732000000
1983-01-26,11585,11585000000
1983-02-02,11596,11596000000
1983-02-09,11659,11659000000
1983-02-16,11580,11580000000
1983-02-23,11560,11560000000
1983-03-02,11600,11600000000
1983-03-09,11681,11681000000
1983-03-16,11599,11599000000
1983-03-23,11555,11555000000
1983-03-30,11640,11640000000
1983-04-06,11751,11751000000
1983-04-13,11752,11752000000
1983-04-20,11677,11677000000
1983-04-27,11727,11727000000
1983-05-04,11845,11845000000
1983-05-11,11979,11979000000
1983-05-18,11976,11976000000
1983-05-25,12153,12153000000
1983-06-01,12139,12139000000
1983-06-08,12261,12261000000
1983-06-15,12238,12238000000
1983-06-22,12321,12321000000
1983-06-29,12536,12536000000
1983-07-06,12785,12785000000
1983-07-13,12814,12814000000
1983-07-20,12741,12741000000
1983-07-27,12765,12765000000
1983-08-03,12906,12906000000
1983-08-10,12882,12882000000
1983-08-17,12718,12718000000
1983-08-24,12669,12669000000
1983-08-31,12789,12789000000
1983-09-07,12977,12977000000
1983-09-14,12908,12908000000
1983-09-21,12729,12729000000
1983-09-28,12727,12727000000
1983-10-05,12862,12862000000
1983-10-12,12997,12997000000
1983-10-19,12889,12889000000
1983-10-26,12826,12826000000
1983-11-02,12903,12903000000
1983-11-09,13065,13065000000
1983-11-16,13009,13009000000
1983-11-23,12914,12914000000
1983-11-30,12945,12945000000
1983-12-07,13223,13223000000
1983-12-14,13417,13417000000
1983-12-21,13804,13804000000
1983-12-28,14155,14155000000
1984-01-04,14056,14056000000
1984-01-11,13427,13427000000
1984-01-18,12913,12913000000
1984-01-25,12711,12711000000
1984-02-01,12684,12684000000
1984-02-08,12785,12785000000
1984-02-15,12698,12698000000
1984-02-22,12628,12628000000
1984-02-29,12654,12654000000
1984-03-07,12752,12752000000
1984-03-14,12731,12731000000
1984-03-21,12643,12643000000
1984-03-28,12695,12695000000
1984-04-04,12799,12799000000
1984-04-11,12954,12954000000
1984-04-18,13029,13029000000
1984-04-25,13148,13148000000
1984-05-02,13142,13142000000
1984-05-09,13264,13264000000
1984-05-16,13294,13294000000
1984-05-23,13402,13402000000
1984-05-30,13374,13374000000
1984-06-06,13461,13461000000
1984-06-13,13517,13517000000
1984-06-20,13512,13512000000
1984-06-27,13722,13722000000
1984-07-04,13982,13982000000
1984-07-11,14028,14028000000
1984-07-18,13884,13884000000
1984-07-25,13818,13818000000
1984-08-01,13912,13912000000
1984-08-08,14097,14097000000
1984-08-15,13954,13954000000
1984-08-22,13749,13749000000
1984-08-29,13825,13825000000
1984-09-05,14000,14000000000
1984-09-12,14018,14018000000
1984-09-19,13809,13809000000
